year,brand,funny,patriotic,celebrity,danger,animals,views,likes,dislikes
2016,Budweiser,FALSE,FALSE,TRUE,FALSE,FALSE,136,0,0
2004,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,1939823,3744,108
2015,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,79,0,0
2016,Kia,TRUE,FALSE,TRUE,FALSE,FALSE,14395,86,1
2017,Budweiser,FALSE,TRUE,FALSE,TRUE,FALSE,28785122,48423,17113
2009,Coca-Cola,FALSE,FALSE,FALSE,FALSE,TRUE,503550,1490,296
2015,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,1274288,2031,149
2004,Toyota,TRUE,FALSE,FALSE,TRUE,FALSE,112297,640,9
2016,NFL,FALSE,TRUE,TRUE,FALSE,FALSE,4921309,20690,2015
2017,Hynudai,FALSE,TRUE,FALSE,FALSE,FALSE,907,8,0
2012,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,14579,42,1
2008,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,110004,300,7
2013,Hynudai,TRUE,FALSE,FALSE,TRUE,TRUE,114478,1042,11
2010,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,11608,22,0
2019,Toyota,FALSE,FALSE,FALSE,FALSE,FALSE,4873,32,14
2009,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,54079,171,7
2003,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,147160,53,15
2019,Coca-Cola,FALSE,TRUE,FALSE,FALSE,TRUE,81952,417,56
2012,Hynudai,TRUE,FALSE,FALSE,TRUE,FALSE,1264,2,0
2011,Hynudai,TRUE,FALSE,FALSE,FALSE,FALSE,319,0,0
2015,Kia,TRUE,FALSE,TRUE,TRUE,TRUE,81049,74,0
2007,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,218329,309,8
2008,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,13312,18,11
2010,NFL,FALSE,TRUE,FALSE,FALSE,FALSE,91378,404,14
2005,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,111,0,0
2018,Budweiser,FALSE,TRUE,FALSE,FALSE,FALSE,39897,138,8
2018,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,33766,144,23
2004,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,88445,118,6
2002,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,13245,49,3
2006,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,85274,78,16
2014,Bud Light,FALSE,FALSE,TRUE,FALSE,TRUE,134186,405,27
2009,Coca-Cola,TRUE,FALSE,FALSE,FALSE,TRUE,1452877,3511,296
2014,Toyota,TRUE,FALSE,TRUE,FALSE,TRUE,25834,140,5
2009,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,30123,33,2
2014,Kia,FALSE,FALSE,TRUE,TRUE,FALSE,17209,198,2
2014,Hynudai,TRUE,FALSE,TRUE,TRUE,FALSE,1874,20,0
2008,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,598260,755,54
2003,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,27378,18,2
2013,Bud Light,TRUE,FALSE,TRUE,FALSE,FALSE,394,1,0
2011,Doritos,TRUE,FALSE,FALSE,TRUE,TRUE,122388,561,8
2005,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,16997,69,3
2014,Doritos,TRUE,FALSE,FALSE,FALSE,TRUE,7952240,18729,1430
2008,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,555734,414,58
2012,Pepsi,FALSE,FALSE,TRUE,FALSE,FALSE,582575,1526,138
2012,Doritos,TRUE,FALSE,FALSE,TRUE,TRUE,86928,130,12
2012,Toyota,TRUE,FALSE,FALSE,TRUE,TRUE,116294,1153,13
2002,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,3548,13,0
2002,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,63129,178,5
2013,E-Trade,TRUE,FALSE,FALSE,FALSE,TRUE,139,1,0
2008,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,24595,26,3
2012,Coca-Cola,FALSE,FALSE,FALSE,FALSE,TRUE,15776,63,4
2004,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,55676,222,9
2010,Doritos,TRUE,FALSE,FALSE,TRUE,TRUE,132054,273,18
2012,Kia,TRUE,FALSE,TRUE,FALSE,FALSE,56257,396,5
2012,NFL,FALSE,FALSE,TRUE,FALSE,FALSE,403641,1980,42
2010,Hynudai,FALSE,FALSE,TRUE,FALSE,FALSE,176547,306,11
2004,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,561,6,0
2008,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,166102,161,10
2006,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,95355,328,14
2007,Coca-Cola,FALSE,FALSE,FALSE,FALSE,TRUE,11311,29,3
2007,Budweiser,FALSE,FALSE,FALSE,TRUE,TRUE,48035,47,2
2013,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,1404745,2491,359
2010,Bud Light,TRUE,FALSE,TRUE,FALSE,FALSE,34565,100,6
2009,Doritos,TRUE,FALSE,FALSE,TRUE,TRUE,640393,1921,215
2009,Coca-Cola,TRUE,FALSE,TRUE,TRUE,FALSE,45799,99,7
2009,Pepsi,FALSE,TRUE,TRUE,TRUE,FALSE,1294,7,0
2001,E-Trade,FALSE,FALSE,FALSE,TRUE,TRUE,103433,167,7
2018,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,41441,224,7
2010,Kia,TRUE,FALSE,FALSE,FALSE,TRUE,50850,92,4
2008,Doritos,TRUE,FALSE,FALSE,TRUE,FALSE,232124,988,31
2012,Coca-Cola,FALSE,FALSE,FALSE,FALSE,TRUE,10925,71,18
2011,Hynudai,FALSE,FALSE,FALSE,FALSE,TRUE,92,1,0
2008,Coca-Cola,TRUE,TRUE,TRUE,FALSE,FALSE,14267,36,2
2002,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,67452,270,15
2013,Kia,TRUE,FALSE,FALSE,FALSE,TRUE,10338,39,2
2008,Pepsi,TRUE,FALSE,TRUE,TRUE,FALSE,236941,594,14
2011,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,56,0,0
2008,Bud Light,TRUE,TRUE,TRUE,FALSE,FALSE,729583,588,180
2008,Bud Light,TRUE,FALSE,TRUE,FALSE,FALSE,1060001,1384,121
2010,E-Trade,TRUE,FALSE,FALSE,FALSE,FALSE,1046640,1206,58
2013,Budweiser,FALSE,FALSE,FALSE,FALSE,FALSE,236,1,0
2001,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,65162,109,4
2018,Coca-Cola,FALSE,FALSE,FALSE,FALSE,FALSE,179,1,0
2003,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,177285,229,10
2011,Pepsi,TRUE,FALSE,FALSE,TRUE,FALSE,204026,476,159
2018,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,34440,178,11
2008,Coca-Cola,TRUE,FALSE,TRUE,TRUE,TRUE,62538,217,4
2013,Kia,TRUE,FALSE,FALSE,TRUE,FALSE,28847,154,10
2014,Coca-Cola,FALSE,TRUE,FALSE,FALSE,TRUE,92878,450,88
2012,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,10,0,0
2004,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,5699,27,1
2007,Bud Light,TRUE,FALSE,TRUE,FALSE,FALSE,955616,1301,134
2007,Budweiser,FALSE,FALSE,TRUE,FALSE,FALSE,186,0,0
2019,Kia,FALSE,TRUE,FALSE,FALSE,FALSE,518,2,1
2003,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,175482,268,15
2018,Toyota,TRUE,TRUE,FALSE,FALSE,FALSE,353513,1448,222
2003,Budweiser,TRUE,FALSE,FALSE,FALSE,TRUE,2732,8,0
2013,Budweiser,FALSE,FALSE,FALSE,FALSE,TRUE,246619,2225,64
2010,Budweiser,TRUE,TRUE,FALSE,FALSE,TRUE,42,1,0
2003,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,16083,60,3
2002,E-Trade,TRUE,FALSE,FALSE,FALSE,TRUE,1361,9,0
2006,Budweiser,TRUE,FALSE,FALSE,TRUE,FALSE,120196,167,15
2012,Coca-Cola,FALSE,FALSE,FALSE,TRUE,TRUE,22849816,92333,42386
2019,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,125,2,0
2007,Toyota,FALSE,FALSE,FALSE,FALSE,FALSE,286010,221,62
2014,Hynudai,TRUE,FALSE,FALSE,TRUE,FALSE,32557,202,7
2006,Pepsi,TRUE,FALSE,TRUE,TRUE,FALSE,69440,70,7
2006,Pepsi,TRUE,FALSE,TRUE,FALSE,FALSE,6430,45,0
2015,Pepsi,FALSE,FALSE,FALSE,FALSE,TRUE,998,3,0
2012,Bud Light,FALSE,FALSE,FALSE,FALSE,FALSE,21314,29,5
2009,Doritos,TRUE,FALSE,FALSE,TRUE,FALSE,20130,46,6
2006,Budweiser,TRUE,FALSE,FALSE,FALSE,TRUE,746836,2179,78
2014,Bud Light,FALSE,FALSE,FALSE,FALSE,FALSE,9649,32,2
2005,Pepsi,TRUE,FALSE,TRUE,FALSE,FALSE,43983,93,5
2005,Bud Light,TRUE,FALSE,TRUE,FALSE,TRUE,3183,4,0
2005,Bud Light,TRUE,FALSE,TRUE,FALSE,TRUE,3183,4,0
2005,Bud Light,TRUE,FALSE,TRUE,FALSE,TRUE,3183,4,0
2005,Bud Light,TRUE,FALSE,TRUE,FALSE,TRUE,3183,4,0
2007,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,162,0,0
2005,Pepsi,TRUE,FALSE,TRUE,FALSE,FALSE,293,3,0
2015,Budweiser,FALSE,TRUE,FALSE,TRUE,TRUE,491630,2327,37
2019,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,7658201,94799,12789
2004,Bud Light,TRUE,FALSE,TRUE,FALSE,FALSE,39730,37,1
2003,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,21813,10,0
2009,E-Trade,TRUE,FALSE,FALSE,FALSE,FALSE,358142,763,24
2013,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,987,2,0
2004,Budweiser,TRUE,FALSE,TRUE,FALSE,TRUE,88458,351,6
2009,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,7253,6,1
2014,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,81183,232,38
2015,Coca-Cola,FALSE,FALSE,FALSE,FALSE,FALSE,48617,331,18
2003,NFL,FALSE,FALSE,TRUE,FALSE,FALSE,18670,42,1
2012,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,176373378,275362,92990
2002,Pepsi,FALSE,FALSE,TRUE,FALSE,FALSE,385777,5929,73
2002,Bud Light,TRUE,FALSE,TRUE,TRUE,FALSE,4641,19,0
2000,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,3624622,24840,521
2001,Bud Light,TRUE,FALSE,TRUE,FALSE,FALSE,998,3,0
2013,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,1190,5,0
2015,Toyota,FALSE,TRUE,FALSE,FALSE,FALSE,32091,266,6
2000,Budweiser,TRUE,FALSE,FALSE,TRUE,TRUE,111442,163,5
2001,Doritos,TRUE,FALSE,TRUE,FALSE,FALSE,2985,15,0
2016,Doritos,TRUE,FALSE,FALSE,FALSE,TRUE,1214968,2534,60
2008,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,9335,12,1
2007,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,292010,244,74
2001,Pepsi,TRUE,TRUE,TRUE,FALSE,TRUE,12106,10,1
2012,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,220292,572,100
2001,Pepsi,TRUE,FALSE,TRUE,TRUE,FALSE,1475,14,0
2001,E-Trade,TRUE,FALSE,FALSE,TRUE,FALSE,6513,12,4
2001,Budweiser,FALSE,FALSE,TRUE,FALSE,FALSE,77142,334,4
