Longitude,Latitude,Unique Squirrel ID,Shift,Age,Color,Location,Approaches,Indifferent,Runs_from,Running,Chasing,Climbing,Eating,Foraging,Kuks,Quaas,Moans,Tail_flags,Tail_twitches
-73.96750231,40.78725547,25A-PM-1007-01,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96423799,40.77747925,17I-PM-1017-01,PM,Juvenile,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96097047,40.79387869,34B-AM-1013-03,AM,Adult,Cinnamon,Above,TRUE,not,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96455476,40.77687701,16I-AM-1008-04,AM,Juvenile,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96862962,40.77181231,10H-AM-1014-02,AM,Juvenile,Cinnamon,Above,FALSE,not,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96808553,40.7769252,15F-AM-1007-10,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96674745,40.77606437,15H-PM-1008-01,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE
-73.9594357,40.78406789,25I-AM-1012-01,AM,Adult,Cinnamon,Above,TRUE,not,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
-73.96895041,40.77667702,14F-PM-1012-05,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.9768451,40.77094304,5C-PM-1010-07,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97908226,40.77144666,5A-AM-1006-03,AM,Juvenile,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.97632369,40.76868156,4D-PM-1008-12,PM,Adult,Cinnamon,Above,FALSE,not,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
-73.95870728,40.78502562,27I-AM-1007-01,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95401971,40.79803926,41E-PM-1013-03,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95271967,40.79236383,36I-PM-1007-11,PM,Juvenile,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.94984217,40.79693974,42I-PM-1014-02,PM,Adult,Cinnamon,Above,FALSE,not,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96381672,40.77764857,18I-PM-1007-03,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97884414,40.76960461,4B-AM-1010-05,AM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
-73.96931599,40.78312123,21B-PM-1017-03,PM,Juvenile,Cinnamon,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97483673,40.7693513,5E-PM-1012-06,PM,Adult,Cinnamon,Above,FALSE,not,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97496416,40.76733051,3F-AM-1006-05,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96935046,40.78306787,21B-PM-1017-02,PM,Juvenile,Cinnamon,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
-73.95401518,40.79200662,35H-AM-1013-01,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97552591,40.77072561,6D-AM-1008-01,AM,Adult,Cinnamon,Above,TRUE,not,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
-73.96515414,40.77982832,19G-PM-1017-01,PM,Adult,Cinnamon,Above,TRUE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97971223,40.76783476,1B-PM-1019-10,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.96089874,40.79613931,37A-PM-1013-02,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.95949861,40.7840083,25I-AM-1012-03,AM,Adult,Cinnamon,Above,TRUE,not,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.95096282,40.79777757,42H-PM-1014-01,PM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.98085173,40.76831546,1A-PM-1014-01,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.95772972,40.7992253,41B-AM-1010-08,AM,Adult,Cinnamon,Above,TRUE,not,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97438256,40.76748126,3F-AM-1006-10,AM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96948057,40.77435569,12F-AM-1020-01,AM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97015052,40.76899836,6I-PM-1013-07,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97696931,40.768439,3D-AM-1006-01,AM,Adult,Cinnamon,Above,FALSE,not,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
-73.96926767,40.77006789,8I-PM-1013-08,PM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97722393,40.77317167,8A-AM-1013-05,AM,Adult,Cinnamon,Above,TRUE,not,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96280416,40.78841802,28D-AM-1012-06,AM,Juvenile,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.97296259,40.76526019,1I-PM-1012-04,PM,Juvenile,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
-73.97678352,40.76740303,2E-PM-1014-04,PM,Adult,Cinnamon,Above,FALSE,not,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-73.96321647,40.79212701,32B-PM-1010-03,PM,Adult,Cinnamon,Above,FALSE,not,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
