title,date,year,genre,rating,total_gross,adjusted_gross
Tuck Everlasting,10/11/2002,2002,Drama,PG,19.16,27.79
The Santa Clause 2,11/1/2002,2002,Comedy,G,139.23,201.96
Treasure Planet,11/27/2002,2002,Adventure,PG,38.12,55.19
The Hot Chick,12/13/2002,2002,Comedy,PG-13,35.08,50.62
25th Hour,12/19/2002,2002,Drama,R,13.08,18.33
The Recruit,1/31/2003,2003,Thriller/Suspense,PG-13,52.78,73.79
Shanghai Knights,2/7/2003,2003,Adventure,PG-13,60.47,84.54
The Jungle Book 2,2/14/2003,2003,Adventure,G,47.9,66.97
Bringing Down the House,3/7/2003,2003,Comedy,PG-13,132.68,185.48
Piglet's Big Movie,3/21/2003,2003,Comedy,G,23.1,32.3
Holes,4/18/2003,2003,Drama,PG,67.38,94.2
The Lizzie McGuire Movie,5/2/2003,2003,Comedy,PG,42.73,59.74
Finding Nemo,5/30/2003,2003,Adventure,G,380.53,518.15
Pirates of the Caribbean: The Curse…,7/9/2003,2003,Adventure,PG-13,305.41,426.97
Freaky Friday,8/6/2003,2003,Comedy,PG,110.22,154.09
Open Range,8/15/2003,2003,Western,R,58.33,81.55
Cold Creek Manor,9/19/2003,2003,Thriller/Suspense,R,21.38,29.9
Under the Tuscan Sun,9/26/2003,2003,Comedy,PG-13,43.6,60.94
Veronica Guerin,10/17/2003,2003,Drama,R,1.57,2.19
Brother Bear,10/24/2003,2003,Adventure,G,85.34,119.22
The Haunted Mansion,11/26/2003,2003,Comedy,PG,75.82,105.78
Calendar Girls,12/19/2003,2003,Comedy,PG-13,31.01,42.38
Young Black Stallion,12/25/2003,2003,Adventure,G,6.75,9.25
