animal_id	animal_type	animal_breed	month	year	census_tract	council_district	intake_type	intake_date	outcome_type	outcome_date	chip_status	animal_origin
1	DOG	RHOD RIDGEBACK	FEB	2017	1502	2	CONFISCATED	2/20/2017	DEAD ON ARRIVAL	2/21/2017	SCAN NO CHIP	FIELD
2	DOG	YORKSHIRE TERR	NOV	2016	13609	11	STRAY	11/19/2016	RETURNED TO OWNER	11/19/2016	SCAN CHIP	FIELD
3	BIRD	CHICKEN	AUG	2017	10803	3	STRAY	8/7/2017	TRANSFER	8/8/2017	SCAN NO CHIP	FIELD
4	DOG	GERM SHEPHERD	DEC	2016	7102	2	STRAY	12/15/2016	ADOPTION	12/20/2016	SCAN NO CHIP	FIELD
5	DOG	GERM SHEPHERD	FEB	2017	6001	4	OWNER SURRENDER	2/16/2017	ADOPTION	2/19/2017	SCAN NO CHIP	OVER THE COUNTER
6	DOG	BASSET HOUND	OCT	2016	75001	1	LOST REPORT	10/4/2016	LOST REPORT	10/4/2016	UNABLE TO SCAN	OVER THE COUNTER
7	CAT	DOMESTIC SH	SEP	2017	5200	1	STRAY	9/20/2017	FOSTER	9/28/2017	SCAN NO CHIP	OVER THE COUNTER
8	DOG	GERM SHEPHERD	SEP	2017	5600	4	STRAY	9/19/2017	RETURNED TO OWNER	9/20/2017	SCAN CHIP	SWEEP
9	CAT	DOMESTIC SH	JUL	2017	9803	6	STRAY	7/31/2017	FOSTER	8/3/2017	SCAN NO CHIP	FIELD
10	CAT	DOMESTIC SH	OCT	2016	16605	8	STRAY	10/2/2016	ADOPTION	10/26/2016	SCAN NO CHIP	OVER THE COUNTER
11	DOG	LABRADOR RETR	NOV	2016	6401	1	STRAY	11/12/2016	ADOPTION	11/17/2016	SCAN NO CHIP	OVER THE COUNTER
12	DOG	CHIHUAHUA SH	AUG	2017	4300	6	OWNER SURRENDER	8/24/2017	RETURNED TO OWNER	8/27/2017	SCAN CHIP	OVER THE COUNTER
13	WILDLIFE	GUINEA PIG	FEB	2017	12301	7	STRAY	2/27/2017	ADOPTION	3/1/2017	SCAN NO CHIP	FIELD
14	DOG	GERM SHEPHERD	JUL	2017	20500	6	STRAY	7/9/2017	ADOPTION	7/18/2017	SCAN NO CHIP	OVER THE COUNTER
15	CAT	DOMESTIC SH	AUG	2017	75238	38	LOST REPORT	8/29/2017	LOST REPORT	9/15/2017	UNABLE TO SCAN	OVER THE COUNTER
16	CAT	DOMESTIC SH	AUG	2017	20500	6	FOSTER	8/19/2017	ADOPTION	8/19/2017	SCAN NO CHIP	OVER THE COUNTER
17	CAT	DOMESTIC SH	MAY	2017	6301	4	STRAY	5/30/2017	TRANSFER	6/1/2017	SCAN NO CHIP	FIELD
18	CAT	DOMESTIC MH	JUL	2017	13626	11	OWNER SURRENDER	7/17/2017	EUTHANIZED	7/17/2017	SCAN NO CHIP	OVER THE COUNTER
19	DOG	ROTTWEILER	FEB	2017	9303	5	STRAY	2/4/2017	TRANSFER	2/7/2017	SCAN NO CHIP	FIELD
20	DOG	PIT BULL	MAR	2017	20500	6	OWNER SURRENDER	3/13/2017	ADOPTION	4/6/2017	SCAN NO CHIP	OVER THE COUNTER
21	DOG	AMERICAN STAFF	JUL	2017	9701	6	STRAY	7/6/2017	RETURNED TO OWNER	7/8/2017	SCAN NO CHIP	FIELD
22	DOG	GREAT PYRENEES	MAR	2017	9202	5	STRAY	3/13/2017	RETURNED TO OWNER	3/13/2017	SCAN NO CHIP	FIELD
23	DOG	GERM SHEPHERD	FEB	2017	6001	4	OWNER SURRENDER	2/16/2017	ADOPTION	2/19/2017	SCAN NO CHIP	OVER THE COUNTER
24	DOG	CHIHUAHUA SH	MAR	2017	2500	7	OWNER SURRENDER	3/2/2017	TRANSFER	3/8/2017	SCAN NO CHIP	OVER THE COUNTER
25	DOG	PIT BULL	JUN	2017	20300	7	STRAY	6/7/2017	TRANSFER	6/17/2017	SCAN NO CHIP	FIELD
26	DOG	GERM SHEPHERD	NOV	2016	5500	4	STRAY	11/14/2016	FOSTER	12/5/2016	SCAN NO CHIP	OVER THE COUNTER
27	CAT	DOMESTIC SH	SEP	2017	9802	6	STRAY	9/27/2017	EUTHANIZED	9/27/2017	SCAN NO CHIP	OVER THE COUNTER
28	CAT	DOMESTIC SH	JUL	2017	11103	3	STRAY	7/19/2017	EUTHANIZED	7/23/2017	UNABLE TO SCAN	OVER THE COUNTER
29	CAT	DOMESTIC SH	JUN	2017	20500	6	FOSTER	6/25/2017	ADOPTION	7/1/2017	SCAN NO CHIP	OVER THE COUNTER
30	DOG	LABRADOR RETR	JUL	2017	10601	6	STRAY	7/18/2017	RETURNED TO OWNER	7/18/2017	SCAN NO CHIP	SWEEP
31	DOG	CAIRN TERRIER	MAY	2017	401	2	OWNER SURRENDER	5/3/2017	ADOPTION	5/10/2017	SCAN NO CHIP	FIELD
32	DOG	LABRADOR RETR	FEB	2017	11103	3	CONFISCATED	2/25/2017	RETURNED TO OWNER	3/7/2017	SCAN NO CHIP	FIELD
33	DOG	PIT BULL	APR	2017	4700	1	CONFISCATED	4/20/2017	EUTHANIZED	4/20/2017	SCAN NO CHIP	FIELD
34	DOG	PIT BULL	OCT	2016	2702	7	STRAY	10/25/2016	ADOPTION	11/17/2016	SCAN NO CHIP	FIELD
35	DOG	AMERICAN STAFF	OCT	2016	UNKNOW	WN	LOST REPORT	10/28/2016	LOST REPORT	11/16/2016	SCAN NO CHIP	OVER THE COUNTER
36	DOG	LABRADOR RETR	APR	2017	11200	8	OWNER SURRENDER	4/24/2017	DIED	4/24/2017	SCAN NO CHIP	FIELD
37	DOG	STAFFORDSHIRE	JUN	2017	12500	9	STRAY	6/25/2017	TRANSFER	6/30/2017	SCAN NO CHIP	FIELD
38	CAT	DOMESTIC SH	AUG	2017	12601	9	STRAY	8/17/2017	TRANSFER	9/6/2017	SCAN NO CHIP	FIELD
39	DOG	CAIRN TERRIER	OCT	2016	12207	7	CONFISCATED	10/19/2016	TRANSFER	11/2/2016	SCAN NO CHIP	FIELD
40	DOG	PIT BULL	MAY	2017	8704	3	STRAY	5/17/2017	ADOPTION	5/25/2017	SCAN NO CHIP	FIELD
41	DOG	BULL TERRIER	APR	2017	NA	NA	LOST REPORT	4/28/2017	LOST REPORT	5/9/2017	UNABLE TO SCAN	OVER THE COUNTER
42	DOG	LABRADOR RETR	OCT	2016	11105	8	STRAY	10/20/2016	TRANSFER	11/2/2016	SCAN NO CHIP	FIELD
43	CAT	DOMESTIC SH	MAR	2017	31709	12	FOSTER	3/27/2017	TRANSFER	3/27/2017	SCAN NO CHIP	OVER THE COUNTER
44	DOG	CHIHUAHUA SH	MAR	2017	13606	11	STRAY	3/14/2017	RETURNED TO OWNER	3/15/2017	SCAN NO CHIP	OVER THE COUNTER
45	CAT	DOMESTIC SH	MAR	2017	10000	6	STRAY	3/7/2017	DEAD ON ARRIVAL	3/8/2017	UNABLE TO SCAN	OVER THE COUNTER
46	CAT	DOMESTIC SH	AUG	2017	20500	6	STRAY	8/1/2017	ADOPTION	8/11/2017	SCAN NO CHIP	OVER THE COUNTER
47	DOG	PIT BULL	DEC	2016	5500	4	STRAY	12/24/2016	ADOPTION	12/30/2016	SCAN NO CHIP	FIELD
48	CAT	DOMESTIC SH	JAN	2017	4201	1	STRAY	1/23/2017	EUTHANIZED	1/24/2017	SCAN NO CHIP	FIELD
49	DOG	CHIHUAHUA SH	APR	2017	6900	1	STRAY	4/14/2017	RETURNED TO OWNER	4/14/2017	SCAN NO CHIP	SWEEP
50	DOG	PIT BULL	AUG	2017	7202	2	CONFISCATED	8/5/2017	EUTHANIZED	8/5/2017	SCAN CHIP	FIELD
51	CAT	DOMESTIC MH	OCT	2016	8100	9	OWNER SURRENDER	10/18/2016	ADOPTION	11/11/2016	SCAN NO CHIP	OVER THE COUNTER
52	CAT	DOMESTIC LH	JUN	2017	20500	6	FOSTER	6/10/2017	ADOPTION	6/13/2017	SCAN NO CHIP	OVER THE COUNTER
53	DOG	CHIHUAHUA SH	MAR	2017	9202	5	STRAY	3/4/2017	EUTHANIZED	3/15/2017	SCAN NO CHIP	OVER THE COUNTER
54	CAT	DOMESTIC SH	JUL	2017	5300	1	CONFISCATED	7/31/2017	TRANSFER	8/30/2017	SCAN NO CHIP	FIELD
55	CAT	DOMESTIC SH	NOV	2016	12800	9	STRAY	11/11/2016	EUTHANIZED	11/11/2016	UNABLE TO SCAN	FIELD
56	DOG	PIT BULL	NOV	2016	6700	3	STRAY	11/15/2016	ADOPTION	11/19/2016	SCAN NO CHIP	OVER THE COUNTER
57	DOG	PIT BULL	APR	2017	8802	4	STRAY	4/26/2017	ADOPTION	5/6/2017	SCAN NO CHIP	SWEEP
58	DOG	CAIRN TERRIER	AUG	2017	404	2	STRAY	8/23/2017	TRANSFER	8/29/2017	SCAN NO CHIP	SWEEP
59	CAT	DOMESTIC SH	OCT	2016	10704	6	STRAY	10/21/2016	TRANSFER	11/13/2016	SCAN NO CHIP	OVER THE COUNTER
60	CAT	DOMESTIC SH	MAY	2017	11800	5	STRAY	5/11/2017	EUTHANIZED	5/11/2017	SCAN NO CHIP	OVER THE COUNTER
61	CAT	DOMESTIC SH	MAR	2017	4800	1	STRAY	3/14/2017	EUTHANIZED	3/14/2017	SCAN NO CHIP	FIELD
62	DOG	PIT BULL	MAY	2017	21634	12	OWNER SURRENDER	5/20/2017	EUTHANIZED	5/20/2017	SCAN CHIP	OVER THE COUNTER
63	DOG	GERM SHEPHERD	JUN	2017	10102	6	STRAY	6/10/2017	EUTHANIZED	6/20/2017	SCAN NO CHIP	SWEEP
64	DOG	AMERICAN STAFF	MAY	2017	11602	8	STRAY	5/2/2017	ADOPTION	7/5/2017	SCAN NO CHIP	SWEEP
65	CAT	DOMESTIC SH	MAY	2017	11702	5	STRAY	5/30/2017	TRANSFER	5/30/2017	SCAN NO CHIP	FIELD
66	DOG	PIT BULL	FEB	2017	2500	2	STRAY	2/16/2017	ADOPTION	2/20/2017	SCAN NO CHIP	FIELD
67	DOG	COLLIE SMOOTH	OCT	2016	8500	5	OWNER SURRENDER	10/13/2016	ADOPTION	10/15/2016	SCAN CHIP	OVER THE COUNTER
68	DOG	PIT BULL	MAY	2017	12604	9	STRAY	5/15/2017	RETURNED TO OWNER	5/17/2017	SCAN NO CHIP	FIELD
69	DOG	POMERANIAN	JUN	2017	1504	2	STRAY	6/23/2017	TRANSFER	6/30/2017	SCAN NO CHIP	FIELD
70	DOG	GREAT PYRENEES	NOV	2016	16703	8	LOST REPORT	11/29/2016	LOST REPORT	12/12/2016	SCAN NO CHIP	OVER THE COUNTER
71	CAT	DOMESTIC SH	SEP	2017	20500	6	STRAY	9/2/2017	ADOPTION	9/6/2017	SCAN NO CHIP	OVER THE COUNTER
72	DOG	CHIHUAHUA SH	MAR	2017	3902	7	OWNER SURRENDER	3/29/2017	TRANSFER	4/2/2017	SCAN CHIP	FIELD
73	CAT	DOMESTIC SH	OCT	2016	7811	10	OWNER SURRENDER	10/22/2016	ADOPTION	11/13/2016	SCAN NO CHIP	OVER THE COUNTER
74	WILDLIFE	OPOSSUM	JUN	2017	11200	8	WILDLIFE	6/26/2017	EUTHANIZED	6/26/2017	SCAN NO CHIP	FIELD
75	DOG	CAIRN TERRIER	JUN	2017	13609	11	OWNER SURRENDER	6/28/2017	ADOPTION	7/1/2017	SCAN NO CHIP	OVER THE COUNTER
76	DOG	COLLIE ROUGH	NOV	2016	20500	6	OWNER SURRENDER	11/15/2016	EUTHANIZED	11/15/2016	SCAN CHIP	OVER THE COUNTER
77	DOG	GERM SHEPHERD	MAR	2017	10602	6	STRAY	3/23/2017	TRANSFER	4/8/2017	SCAN NO CHIP	FIELD
78	CAT	DOMESTIC SH	NOV	2016	20500	6	STRAY	11/5/2016	EUTHANIZED	11/5/2016	SCAN NO CHIP	OVER THE COUNTER
79	DOG	LABRADOR RETR	FEB	2017	20500	6	STRAY	2/14/2017	TRANSFER	2/18/2017	SCAN NO CHIP	OVER THE COUNTER
80	DOG	AM PIT BULL TER	JUL	2017	3902	7	STRAY	7/20/2017	EUTHANIZED	7/24/2017	SCAN NO CHIP	FIELD
81	DOG	BASENJI	DEC	2016	10801	3	OWNER SURRENDER	12/19/2016	ADOPTION	12/24/2016	SCAN CHIP	OVER THE COUNTER
82	CAT	DOMESTIC SH	OCT	2016	13008	10	STRAY	10/6/2016	ADOPTION	10/21/2016	SCAN NO CHIP	FIELD
83	DOG	BELG MALINOIS	FEB	2017	20500	6	STRAY	2/19/2017	ADOPTION	3/1/2017	SCAN CHIP	OVER THE COUNTER
84	CAT	DOMESTIC SH	JUN	2017	4500	1	OWNER SURRENDER	6/25/2017	ADOPTION	7/1/2017	SCAN NO CHIP	OVER THE COUNTER
85	DOG	GERM SHEPHERD	JAN	2017	10601	6	OWNER SURRENDER	1/10/2017	ADOPTION	1/18/2017	SCAN NO CHIP	OVER THE COUNTER
86	DOG	GERM SHEPHERD	JUL	2017	5000	1	OWNER SURRENDER	7/21/2017	EUTHANIZED	7/21/2017	SCAN NO CHIP	OVER THE COUNTER
87	DOG	GERM SHEPHERD	MAR	2017	20500	6	STRAY	3/30/2017	ADOPTION	4/14/2017	SCAN NO CHIP	OVER THE COUNTER
88	DOG	PIT BULL	NOV	2016	6100	4	STRAY	11/23/2016	ADOPTION	12/23/2016	SCAN CHIP	OVER THE COUNTER
89	DOG	GERM SHEPHERD	APR	2017	7604	13	CONFISCATED	4/12/2017	DEAD ON ARRIVAL	4/13/2017	UNABLE TO SCAN	FIELD
90	DOG	GERM SHEPHERD	MAY	2017	2500	2	STRAY	5/24/2017	RETURNED TO OWNER	5/24/2017	SCAN NO CHIP	FIELD
91	DOG	AMERICAN STAFF	MAY	2017	11602	8	STRAY	5/3/2017	ADOPTION	5/14/2017	SCAN NO CHIP	FIELD
92	DOG	CHIHUAHUA SH	AUG	2017	11601	8	STRAY	8/12/2017	ADOPTION	8/18/2017	SCAN NO CHIP	SWEEP
93	BIRD	OTHER BIRD	APR	2017	13620	11	WILDLIFE	4/26/2017	EUTHANIZED	4/26/2017	UNABLE TO SCAN	FIELD
94	DOG	PIT BULL	AUG	2017	20500	6	STRAY	8/4/2017	EUTHANIZED	8/8/2017	SCAN CHIP	OVER THE COUNTER
95	DOG	PIT BULL	NOV	2016	10704	3	OWNER SURRENDER	11/21/2016	ADOPTION	11/21/2016	SCAN CHIP	OVER THE COUNTER
96	CAT	DOMESTIC SH	APR	2017	20500	6	STRAY	4/12/2017	TRANSFER	4/17/2017	SCAN NO CHIP	FIELD
97	DOG	PIT BULL	JUN	2017	31720	12	CONFISCATED	6/30/2017	RETURNED TO OWNER	7/7/2017	SCAN NO CHIP	OVER THE COUNTER
98	DOG	BLACK MOUTH CUR	APR	2017	4500	1	STRAY	4/18/2017	TRANSFER	4/29/2017	SCAN NO CHIP	OVER THE COUNTER
99	DOG	BOXER	NOV	2016	4100	4	OWNER SURRENDER	11/4/2016	EUTHANIZED	11/4/2016	SCAN NO CHIP	OVER THE COUNTER
100	CAT	DOMESTIC SH	SEP	2017	12209	9	OWNER SURRENDER	9/9/2017	TRANSFER	9/13/2017	SCAN NO CHIP	OVER THE COUNTER
101	DOG	POMERANIAN	FEB	2017	9000	5	STRAY	2/23/2017	ADOPTION	2/28/2017	SCAN NO CHIP	SWEEP
102	DOG	ALASKAN HUSKY	SEP	2017	7821	13	STRAY	9/26/2017	ADOPTION	10/2/2017	SCAN NO CHIP	FIELD
103	CAT	DOMESTIC SH	JAN	2017	10102	6	STRAY	1/4/2017	RETURNED TO OWNER	1/8/2017	SCAN NO CHIP	OVER THE COUNTER
104	DOG	AMERICAN STAFF	AUG	2017	8701	4	STRAY	8/13/2017	RETURNED TO OWNER	8/14/2017	SCAN CHIP	FIELD
105	DOG	PIT BULL	JAN	2017	17102	8	STRAY	1/8/2017	EUTHANIZED	1/8/2017	SCAN NO CHIP	OVER THE COUNTER
106	CAT	DOMESTIC SH	APR	2017	9000	7	OWNER SURRENDER	4/24/2017	TRANSFER	4/30/2017	SCAN NO CHIP	OVER THE COUNTER
107	DOG	CHIHUAHUA SH	MAR	2017	20300	7	STRAY	3/11/2017	RETURNED TO OWNER	3/11/2017	SCAN CHIP	FIELD
108	DOG	CHIHUAHUA SH	NOV	2016	4500	1	OWNER SURRENDER	11/3/2016	ADOPTION	11/4/2016	SCAN NO CHIP	OVER THE COUNTER
109	WILDLIFE	GUINEA PIG	JUN	2017	20500	6	OWNER SURRENDER	6/17/2017	TRANSFER	6/19/2017	SCAN NO CHIP	OVER THE COUNTER
110	DOG	LHASA APSO	NOV	2016	11002	4	OWNER SURRENDER	11/11/2016	ADOPTION	11/13/2016	SCAN CHIP	OVER THE COUNTER
111	DOG	PIT BULL	APR	2017	5100	1	STRAY	4/21/2017	RETURNED TO OWNER	4/21/2017	SCAN NO CHIP	SWEEP
112	DOG	CHOW CHOW	JUL	2017	8500	5	STRAY	7/26/2017	RETURNED TO OWNER	7/26/2017	UNABLE TO SCAN	SWEEP
113	CAT	DOMESTIC SH	MAY	2017	5300	1	STRAY	5/17/2017	TRANSFER	5/22/2017	SCAN NO CHIP	OVER THE COUNTER
114	CAT	DOMESTIC SH	SEP	2017	5400	4	OWNER SURRENDER	9/16/2017	TRANSFER	9/19/2017	SCAN NO CHIP	OVER THE COUNTER
115	DOG	LABRADOR RETR	OCT	2016	10602	6	STRAY	10/12/2016	ADOPTION	11/25/2016	SCAN NO CHIP	SWEEP
116	CAT	DOMESTIC SH	MAY	2017	16520	3	OWNER SURRENDER	5/10/2017	TRANSFER	6/13/2017	SCAN NO CHIP	OVER THE COUNTER
117	DOG	GERM SHEPHERD	AUG	2017	11800	5	STRAY	8/4/2017	ADOPTION	8/16/2017	SCAN CHIP	FIELD
118	WILDLIFE	RACCOON	MAY	2017	13619	12	WILDLIFE	5/29/2017	DIED	5/30/2017	SCAN NO CHIP	FIELD
119	DOG	CHIHUAHUA SH	OCT	2016	13609	11	STRAY	10/25/2016	RETURNED TO OWNER	10/25/2016	SCAN CHIP	FIELD
120	DOG	LABRADOR RETR	JUL	2017	9401	2	OWNER SURRENDER	7/29/2017	TRANSFER	8/5/2017	SCAN NO CHIP	OVER THE COUNTER
121	DOG	AUST SHEPHERD	JAN	2017	12701	9	OWNER SURRENDER	1/6/2017	RETURNED TO OWNER	1/9/2017	SCAN CHIP	OVER THE COUNTER
122	DOG	LHASA APSO	APR	2017	4500	1	STRAY	4/5/2017	RETURNED TO OWNER	4/7/2017	SCAN CHIP	SWEEP
123	DOG	LABRADOR RETR	NOV	2016	8703	4	OWNER SURRENDER	11/17/2016	EUTHANIZED	11/17/2016	UNABLE TO SCAN	OVER THE COUNTER
124	DOG	ALASK MALAMUTE	MAY	2017	5700	4	STRAY	5/24/2017	ADOPTION	6/16/2017	SCAN CHIP	FIELD
125	DOG	CHIHUAHUA SH	JUL	2017	5300	1	STRAY	7/5/2017	RETURNED TO OWNER	7/5/2017	SCAN NO CHIP	SWEEP
126	CAT	MUNCHKIN SH	MAY	2017	4202	1	OWNER SURRENDER	5/25/2017	TRANSFER	5/28/2017	SCAN NO CHIP	OVER THE COUNTER
127	DOG	BOXER	JAN	2017	9301	5	STRAY	1/6/2017	ADOPTION	1/24/2017	SCAN NO CHIP	FIELD
128	CAT	DOMESTIC SH	JUL	2017	19035	10	OWNER SURRENDER	7/10/2017	EUTHANIZED	7/10/2017	SCAN NO CHIP	FIELD
129	DOG	GOLDEN RETR	JAN	2017	6800	1	STRAY	1/12/2017	RETURNED TO OWNER	1/14/2017	SCAN CHIP	OVER THE COUNTER
130	DOG	CHIHUAHUA SH	MAY	2017	5300	1	CONFISCATED	5/20/2017	TRANSFER	6/3/2017	SCAN NO CHIP	FIELD
131	DOG	CHIHUAHUA SH	OCT	2016	20500	6	OWNER SURRENDER	10/29/2016	ADOPTION	10/29/2016	SCAN CHIP	OVER THE COUNTER
132	DOG	BOXER	AUG	2017	9201	5	STRAY	8/21/2017	ADOPTION	8/30/2017	SCAN NO CHIP	FIELD
133	DOG	CHIHUAHUA SH	MAY	2017	5901	4	STRAY	5/22/2017	TRANSFER	5/24/2017	SCAN NO CHIP	SWEEP
134	CAT	DOMESTIC SH	FEB	2017	11702	8	STRAY	2/6/2017	EUTHANIZED	2/10/2017	UNABLE TO SCAN	FIELD
135	DOG	GERM SHEPHERD	FEB	2017	17001	8	STRAY	2/1/2017	TRANSFER	2/11/2017	SCAN NO CHIP	SWEEP
136	CAT	DOMESTIC SH	JUN	2017	11103	3	STRAY	6/15/2017	TRANSFER	6/19/2017	SCAN NO CHIP	FIELD
137	DOG	BORDER TERRIER	OCT	2016	3800	7	STRAY	10/20/2016	TRANSFER	10/26/2016	SCAN NO CHIP	FIELD
138	DOG	PIT BULL	NOV	2016	10000	6	CONFISCATED	11/15/2016	EUTHANIZED	11/27/2016	SCAN NO CHIP	FIELD
139	DOG	POINTER	APR	2017	10704	3	STRAY	4/5/2017	ADOPTION	5/4/2017	SCAN CHIP	SWEEP
140	DOG	PIT BULL	DEC	2016	20500	6	LOST REPORT	12/29/2016	LOST REPORT	1/10/2017	UNABLE TO SCAN	OVER THE COUNTER
141	DOG	AUST CATTLE DOG	DEC	2016	31717	12	OWNER SURRENDER	12/30/2016	ADOPTION	1/24/2017	SCAN CHIP	OVER THE COUNTER
142	DOG	LABRADOR RETR	JUL	2017	7302	13	OWNER SURRENDER	7/15/2017	FOSTER	7/29/2017	SCAN NO CHIP	OVER THE COUNTER
143	DOG	ALASKAN HUSKY	MAR	2017	12701	9	OWNER SURRENDER	3/2/2017	ADOPTION	3/4/2017	SCAN NO CHIP	OVER THE COUNTER
144	CAT	DOMESTIC SH	OCT	2016	12500	9	OWNER SURRENDER	10/20/2016	ADOPTION	10/22/2016	SCAN NO CHIP	OVER THE COUNTER
145	DOG	PIT BULL	FEB	2017	9000	7	STRAY	2/16/2017	EUTHANIZED	2/28/2017	SCAN CHIP	FIELD
146	DOG	PIT BULL	MAY	2017	6001	4	CONFISCATED	5/13/2017	EUTHANIZED	5/23/2017	SCAN NO CHIP	FIELD
147	DOG	YORKSHIRE TERR	SEP	2017	10704	6	STRAY	9/21/2017	TRANSFER	9/27/2017	SCAN NO CHIP	FIELD
148	DOG	LABRADOR RETR	MAR	2017	3700	7	STRAY	3/23/2017	EUTHANIZED	3/27/2017	SCAN NO CHIP	FIELD
149	BIRD	CROW	FEB	2017	7822	13	WILDLIFE	2/3/2017	EUTHANIZED	2/3/2017	SCAN NO CHIP	FIELD
150	DOG	LABRADOR RETR	JAN	2017	8100	9	STRAY	1/19/2017	TRANSFER	1/20/2017	SCAN CHIP	FIELD
151	DOG	MASTIFF	MAY	2017	11800	5	OWNER SURRENDER	5/20/2017	TRANSFER	6/3/2017	SCAN NO CHIP	OVER THE COUNTER
152	DOG	CHIHUAHUA SH	NOV	2016	2701	7	OWNER SURRENDER	11/17/2016	ADOPTION	11/20/2016	SCAN NO CHIP	OVER THE COUNTER
153	DOG	BEAGLE	MAY	2017	7913	14	OWNER SURRENDER	5/21/2017	RETURNED TO OWNER	5/22/2017	SCAN CHIP	OVER THE COUNTER
154	DOG	COLLIE SMOOTH	NOV	2016	13605	12	OWNER SURRENDER	11/28/2016	ADOPTION	11/30/2016	SCAN NO CHIP	OVER THE COUNTER
155	DOG	CATAHOULA	MAY	2017	12603	9	STRAY	5/8/2017	EUTHANIZED	5/14/2017	SCAN NO CHIP	FIELD
156	DOG	PIT BULL	APR	2017	9103	5	OWNER SURRENDER	4/24/2017	RETURNED TO OWNER	4/27/2017	SCAN NO CHIP	FIELD
157	DOG	GERM SHEPHERD	DEC	2016	10602	6	STRAY	12/12/2016	EUTHANIZED	12/16/2016	SCAN NO CHIP	SWEEP
158	DOG	AM PIT BULL TER	DEC	2016	NA	NA	LOST REPORT	12/19/2016	LOST REPORT	1/3/2017	UNABLE TO SCAN	OVER THE COUNTER
159	DOG	CHIHUAHUA SH	DEC	2016	8400	7	STRAY	12/2/2016	ADOPTION	12/8/2016	SCAN NO CHIP	FIELD
160	CAT	DOMESTIC SH	FEB	2017	12603	9	STRAY	2/16/2017	TRANSFER	2/20/2017	UNABLE TO SCAN	FIELD
161	CAT	DOMESTIC SH	JAN	2017	6900	1	STRAY	1/4/2017	TRANSFER	1/9/2017	UNABLE TO SCAN	OVER THE COUNTER
162	CAT	DOMESTIC SH	NOV	2016	4201	1	STRAY	11/4/2016	TRANSFER	11/10/2016	SCAN CHIP	OVER THE COUNTER
163	DOG	PIT BULL	SEP	2017	16605	8	STRAY	9/20/2017	RETURNED TO OWNER	9/20/2017	SCAN NO CHIP	SWEEP
164	WILDLIFE	OPOSSUM	MAR	2017	9900	6	WILDLIFE	3/17/2017	WILDLIFE	3/18/2017	SCAN NO CHIP	FIELD
165	DOG	PIT BULL	APR	2017	6700	3	LOST REPORT	4/14/2017	LOST REPORT	4/25/2017	SCAN NO CHIP	OVER THE COUNTER
166	DOG	CHIHUAHUA SH	AUG	2017	7201	6	STRAY	8/27/2017	TRANSFER	8/28/2017	SCAN NO CHIP	FIELD
167	DOG	CHIHUAHUA SH	NOV	2016	5600	4	STRAY	11/16/2016	ADOPTION	11/26/2016	SCAN NO CHIP	SWEEP
168	DOG	CHIHUAHUA SH	FEB	2017	9303	5	STRAY	2/15/2017	RETURNED TO OWNER	2/17/2017	SCAN NO CHIP	FIELD
169	CAT	DOMESTIC SH	JUL	2017	8500	5	STRAY	7/11/2017	EUTHANIZED	7/13/2017	SCAN NO CHIP	FIELD
170	DOG	CHIHUAHUA SH	SEP	2017	10701	3	STRAY	9/2/2017	RETURNED TO OWNER	9/6/2017	SCAN NO CHIP	OVER THE COUNTER
171	DOG	ROTTWEILER	AUG	2017	16510	3	STRAY	8/10/2017	RETURNED TO OWNER	8/14/2017	SCAN CHIP	FIELD
172	DOG	PIT BULL	JAN	2017	8604	4	STRAY	1/9/2017	RETURNED TO OWNER	1/11/2017	SCAN NO CHIP	SWEEP
173	DOG	SCHNAUZER MIN	APR	2017	11001	3	STRAY	4/10/2017	TRANSFER	4/22/2017	SCAN CHIP	OVER THE COUNTER
174	DOG	MASTIFF	JUL	2017	2000	1	STRAY	7/14/2017	RETURNED TO OWNER	7/15/2017	SCAN CHIP	OVER THE COUNTER
175	DOG	DACHSHUND	DEC	2016	75228	28	FOUND REPORT	12/29/2016	FOUND REPORT	1/10/2017	UNABLE TO SCAN	OVER THE COUNTER
176	DOG	GERM SHEPHERD	FEB	2017	5400	4	STRAY	2/27/2017	RETURNED TO OWNER	3/1/2017	SCAN NO CHIP	FIELD
177	DOG	SHIH TZU	MAY	2017	17101	8	OWNER SURRENDER	5/12/2017	TRANSFER	5/13/2017	SCAN CHIP	OVER THE COUNTER
178	DOG	CATAHOULA	MAY	2017	5600	4	STRAY	5/25/2017	ADOPTION	6/28/2017	SCAN NO CHIP	FIELD
179	DOG	LABRADOR RETR	NOV	2016	5901	4	OWNER SURRENDER	11/21/2016	ADOPTION	11/26/2016	SCAN NO CHIP	FIELD
180	DOG	CHIHUAHUA SH	DEC	2016	75219	19	FOUND REPORT	12/21/2016	FOUND REPORT	1/3/2017	UNABLE TO SCAN	OVER THE COUNTER
181	DOG	CHIHUAHUA SH	MAR	2017	2500	2	STRAY	3/18/2017	TRANSFER	3/21/2017	SCAN NO CHIP	SWEEP
182	DOG	PIT BULL	DEC	2016	8704	4	STRAY	12/17/2016	EUTHANIZED	12/17/2016	SCAN NO CHIP	FIELD
183	DOG	CHIHUAHUA SH	MAY	2017	20500	6	OWNER SURRENDER	5/5/2017	ADOPTION	5/7/2017	SCAN NO CHIP	OVER THE COUNTER
