animal_id	animal_type	animal_breed	month	year	census_tract	council_district	intake_type	intake_date	outcome_type	outcome_date	chip_status	animal_origin
1611	CAT	DOMESTIC SH	JUL	2017	6402	1	STRAY	7/3/2017	EUTHANIZED	7/5/2017	SCAN NO CHIP	FIELD
1612	DOG	AUST SHEPHERD	MAR	2017	17101	8	OWNER SURRENDER	3/26/2017	ADOPTION	4/2/2017	SCAN NO CHIP	OVER THE COUNTER
1613	DOG	LABRADOR RETR	NOV	2016	13623	11	OWNER SURRENDER	11/4/2016	EUTHANIZED	11/4/2016	SCAN NO CHIP	OVER THE COUNTER
1614	DOG	GERM SHEPHERD	DEC	2016	20500	6	STRAY	12/2/2016	ADOPTION	12/6/2016	SCAN NO CHIP	OVER THE COUNTER
1615	CAT	DOMESTIC SH	JUN	2017	9201	5	STRAY	6/8/2017	EUTHANIZED	6/22/2017	SCAN NO CHIP	FIELD
1616	DOG	CHOW CHOW	APR	2017	12400	9	STRAY	4/7/2017	RETURNED TO OWNER	4/8/2017	SCAN NO CHIP	FIELD
1617	DOG	CATAHOULA	DEC	2016	8500	7	STRAY	12/12/2016	ADOPTION	12/24/2016	SCAN CHIP	FIELD
1618	DOG	YORKSHIRE TERR	MAR	2017	6402	1	STRAY	3/9/2017	RETURNED TO OWNER	3/9/2017	SCAN NO CHIP	SWEEP
1619	DOG	GERM SHEPHERD	JUL	2017	6200	4	STRAY	7/4/2017	TRANSFER	7/6/2017	SCAN NO CHIP	FIELD
1620	DOG	GERM SHEPHERD	JAN	2017	5400	4	STRAY	1/2/2017	TRANSFER	1/2/2017	SCAN NO CHIP	OVER THE COUNTER
1621	DOG	PIT BULL	APR	2017	31714	12	OWNER SURRENDER	4/22/2017	EUTHANIZED	4/23/2017	SCAN NO CHIP	OVER THE COUNTER
1622	DOG	GOLDEN RETR	DEC	2016	75240	40	LOST REPORT	12/23/2016	LOST REPORT	1/3/2017	UNABLE TO SCAN	OVER THE COUNTER
1623	CAT	DOMESTIC MH	JAN	2017	401	2	STRAY	1/22/2017	ADOPTION	1/26/2017	SCAN NO CHIP	FIELD
1624	DOG	CHIHUAHUA SH	FEB	2017	17004	8	STRAY	2/10/2017	TRANSFER	2/15/2017	SCAN NO CHIP	FIELD
1625	DOG	BEAGLE	OCT	2016	11500	7	STRAY	10/24/2016	TRANSFER	10/28/2016	SCAN NO CHIP	FIELD
1626	WILDLIFE	OPOSSUM	FEB	2017	20200	8	WILDLIFE	2/13/2017	EUTHANIZED	2/13/2017	SCAN NO CHIP	FIELD
1627	DOG	CHIHUAHUA SH	NOV	2016	12302	7	CONFISCATED	11/4/2016	EUTHANIZED	11/7/2016	SCAN NO CHIP	FIELD
1628	DOG	PIT BULL	APR	2017	6700	1	OWNER SURRENDER	4/7/2017	TRANSFER	4/8/2017	SCAN NO CHIP	OVER THE COUNTER
1629	DOG	GERM SHEPHERD	JUN	2017	1800	14	OWNER SURRENDER	6/7/2017	ADOPTION	6/17/2017	SCAN CHIP	OVER THE COUNTER
1630	DOG	CHIHUAHUA LH	SEP	2017	5100	1	OWNER SURRENDER	9/27/2017	ADOPTION	9/30/2017	SCAN NO CHIP	FIELD
1631	DOG	BOXER	FEB	2017	10500	6	STRAY	2/4/2017	ADOPTION	2/8/2017	UNABLE TO SCAN	OVER THE COUNTER
1632	CAT	DOMESTIC SH	JUN	2017	9900	6	STRAY	6/23/2017	EUTHANIZED	6/24/2017	UNABLE TO SCAN	OVER THE COUNTER
1633	DOG	WELSH CORGI CAR	MAR	2017	10102	6	STRAY	3/22/2017	RETURNED TO OWNER	3/22/2017	SCAN NO CHIP	SWEEP
1634	CAT	DOMESTIC SH	MAY	2017	6900	1	STRAY	5/6/2017	TRANSFER	5/7/2017	SCAN NO CHIP	OVER THE COUNTER
1635	DOG	AUST CATTLE DOG	JAN	2017	9304	5	STRAY	1/10/2017	EUTHANIZED	1/20/2017	SCAN CHIP	FIELD
1636	DOG	PIT BULL	MAR	2017	9301	5	STRAY	3/24/2017	EUTHANIZED	4/7/2017	SCAN CHIP	SWEEP
1637	DOG	PIT BULL	DEC	2016	11002	4	STRAY	12/23/2016	ADOPTION	12/28/2016	SCAN NO CHIP	FIELD
1638	DOG	GERM SHEPHERD	MAY	2017	5400	4	STRAY	5/28/2017	ADOPTION	6/11/2017	SCAN CHIP	SWEEP
1639	DOG	AMERICAN STAFF	OCT	2016	8705	8	STRAY	10/23/2016	RETURNED TO OWNER	10/24/2016	UNABLE TO SCAN	FIELD
1640	DOG	CHIHUAHUA SH	MAR	2017	9301	5	STRAY	3/7/2017	RETURNED TO OWNER	3/7/2017	SCAN NO CHIP	FIELD
1641	CAT	DOMESTIC SH	JUL	2017	11701	5	STRAY	7/18/2017	EUTHANIZED	7/23/2017	SCAN NO CHIP	OVER THE COUNTER
1642	DOG	POODLE MIN	NOV	2016	4600	1	STRAY	11/21/2016	ADOPTION	11/26/2016	SCAN NO CHIP	OVER THE COUNTER
1643	DOG	GERM SHEPHERD	OCT	2016	20500	6	OWNER SURRENDER	10/3/2016	ADOPTION	10/12/2016	SCAN NO CHIP	OVER THE COUNTER
1644	DOG	ALASKAN HUSKY	MAY	2017	11702	8	OWNER SURRENDER	5/8/2017	ADOPTION	5/13/2017	SCAN NO CHIP	OVER THE COUNTER
1645	DOG	PIT BULL	NOV	2016	2701	7	CONFISCATED	11/18/2016	ADOPTION	11/23/2016	SCAN NO CHIP	FIELD
1646	DOG	BOXER	FEB	2017	7818	13	STRAY	2/16/2017	EUTHANIZED	2/20/2017	SCAN NO CHIP	FIELD
1647	DOG	GERM SHEPHERD	FEB	2017	5902	4	OWNER SURRENDER	2/21/2017	TRANSFER	2/22/2017	SCAN NO CHIP	FIELD
1648	WILDLIFE	OPOSSUM	MAR	2017	1102	14	WILDLIFE	3/28/2017	EUTHANIZED	3/28/2017	SCAN NO CHIP	FIELD
1649	DOG	PIT BULL	APR	2017	5500	4	STRAY	4/6/2017	EUTHANIZED	4/10/2017	SCAN NO CHIP	FIELD
1650	DOG	BORDER COLLIE	MAY	2017	11105	8	STRAY	5/8/2017	EUTHANIZED	5/8/2017	SCAN NO CHIP	OVER THE COUNTER
1651	CAT	DOMESTIC SH	OCT	2016	10704	6	STRAY	10/21/2016	DIED	11/6/2016	SCAN NO CHIP	OVER THE COUNTER
1652	DOG	GERM SHEPHERD	AUG	2017	8802	4	CONFISCATED	8/9/2017	RETURNED TO OWNER	8/21/2017	SCAN NO CHIP	FIELD
1653	DOG	BLACK MOUTH CUR	NOV	2016	10500	6	STRAY	11/1/2016	TRANSFER	11/4/2016	SCAN NO CHIP	OVER THE COUNTER
1654	BIRD	CHICKEN	APR	2017	6302	1	STRAY	4/5/2017	ADOPTION	4/5/2017	SCAN NO CHIP	FIELD
1655	DOG	GERM SHEPHERD	AUG	2017	5901	4	OWNER SURRENDER	8/25/2017	EUTHANIZED	8/25/2017	SCAN NO CHIP	SWEEP
1656	DOG	CHIHUAHUA SH	FEB	2017	7821	13	OWNER SURRENDER	2/16/2017	ADOPTION	2/19/2017	SCAN NO CHIP	FIELD
1657	DOG	PIT BULL	MAY	2017	3400	7	STRAY	5/1/2017	EUTHANIZED	5/5/2017	SCAN NO CHIP	FIELD
1658	CAT	DOMESTIC MH	AUG	2017	6900	1	OWNER SURRENDER	8/7/2017	FOSTER	8/16/2017	SCAN NO CHIP	OVER THE COUNTER
1659	DOG	GERM SHEPHERD	NOV	2016	17102	8	STRAY	11/11/2016	ADOPTION	11/27/2016	SCAN NO CHIP	FIELD
1660	DOG	PIT BULL	JAN	2017	5700	4	STRAY	1/5/2017	ADOPTION	1/25/2017	SCAN NO CHIP	FIELD
1661	DOG	PIT BULL	DEC	2016	10602	6	STRAY	12/8/2016	EUTHANIZED	12/13/2016	SCAN NO CHIP	OVER THE COUNTER
1662	DOG	LABRADOR RETR	JUN	2017	9603	13	OWNER SURRENDER	6/12/2017	EUTHANIZED	6/13/2017	SCAN CHIP	OVER THE COUNTER
1663	DOG	PEKINGESE	FEB	2017	16510	3	STRAY	2/7/2017	RETURNED TO OWNER	2/10/2017	SCAN NO CHIP	OVER THE COUNTER
1664	DOG	POODLE MIN	DEC	2016	20500	6	STRAY	12/15/2016	RETURNED TO OWNER	12/19/2016	SCAN NO CHIP	OVER THE COUNTER
1665	DOG	PIT BULL	DEC	2016	7818	13	STRAY	12/16/2016	EUTHANIZED	12/21/2016	SCAN NO CHIP	FIELD
1666	DOG	POODLE MIN	APR	2017	11103	3	STRAY	4/27/2017	ADOPTION	5/6/2017	SCAN NO CHIP	SWEEP
1667	DOG	CHIHUAHUA SH	FEB	2017	17004	8	OWNER SURRENDER	2/21/2017	ADOPTION	2/28/2017	SCAN NO CHIP	OVER THE COUNTER
1668	DOG	ANATOL SHEPHERD	SEP	2017	UNKNOW	WN	FOUND REPORT	9/19/2017	LOST REPORT	10/6/2017	UNABLE TO SCAN	OVER THE COUNTER
1669	DOG	PIT BULL	JUN	2017	11602	8	STRAY	6/9/2017	EUTHANIZED	6/14/2017	SCAN NO CHIP	OVER THE COUNTER
1670	DOG	CHIHUAHUA SH	MAR	2017	9000	7	STRAY	3/30/2017	RETURNED TO OWNER	3/30/2017	SCAN NO CHIP	SWEEP
1671	DOG	PIT BULL	JUN	2017	4100	4	STRAY	6/7/2017	EUTHANIZED	6/11/2017	SCAN NO CHIP	FIELD
1672	DOG	GERM SHEPHERD	APR	2017	5700	4	STRAY	4/22/2017	TRANSFER	5/10/2017	SCAN NO CHIP	OVER THE COUNTER
1673	DOG	CHIHUAHUA SH	FEB	2017	5300	1	STRAY	2/5/2017	RETURNED TO OWNER	2/9/2017	SCAN NO CHIP	OVER THE COUNTER
1674	DOG	CHIHUAHUA SH	APR	2017	9202	5	STRAY	4/19/2017	EUTHANIZED	4/29/2017	SCAN NO CHIP	OVER THE COUNTER
1675	DOG	CHIHUAHUA SH	FEB	2017	10500	6	STRAY	2/24/2017	RETURNED TO OWNER	2/27/2017	SCAN NO CHIP	SWEEP
1676	CAT	DOMESTIC SH	OCT	2016	11104	8	OWNER SURRENDER	10/22/2016	EUTHANIZED	10/24/2016	SCAN CHIP	OVER THE COUNTER
1677	DOG	ROTTWEILER	JUN	2017	5600	4	STRAY	6/20/2017	TRANSFER	6/27/2017	SCAN NO CHIP	SWEEP
1678	CAT	DOMESTIC SH	OCT	2016	5200	1	OWNER SURRENDER	10/22/2016	ADOPTION	10/28/2016	SCAN NO CHIP	OVER THE COUNTER
1679	CAT	DOMESTIC MH	OCT	2016	6502	1	STRAY	10/19/2016	EUTHANIZED	10/19/2016	SCAN NO CHIP	OVER THE COUNTER
1680	CAT	DOMESTIC SH	FEB	2017	12800	9	OWNER SURRENDER	2/4/2017	ADOPTION	2/8/2017	SCAN NO CHIP	OVER THE COUNTER
