year,brand,funny,patriotic,celebrity,danger,animals,views,likes,dislikes,superbowl_ads_dot_com_url,youtube_url
2016,Hynudai,TRUE,FALSE,FALSE,TRUE,TRUE,5049,40,3,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-chase/,https://www.youtube.com/watch?v=r_kXSO9Cph0
2010,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,85454,120,3,https://superbowl-ads.com/hd-exclusive-stranded-budweiser-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=zE7wyUmsM0k
2000,E-Trade,TRUE,FALSE,FALSE,FALSE,TRUE,9036,51,2,https://superbowl-ads.com/2000-etrade-monkey-dance/,https://www.youtube.com/watch?v=Muyq2kMDFoA
2001,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,2801,9,0,https://superbowl-ads.com/2001-bud-light-otto/,https://www.youtube.com/watch?v=XJEYIR-Cai4
2018,Doritos,TRUE,FALSE,TRUE,FALSE,FALSE,23327,333,6,https://superbowl-ads.com/2018-doritos-blaze-vs-mtn-dew-ice/,https://www.youtube.com/watch?v=rZh_CbcVe7M
2001,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,50088,151,3,https://superbowl-ads.com/2001-budweiser-what-are-you-doing/,https://www.youtube.com/watch?v=gtmJEt0w1k4
2018,Coca-Cola,FALSE,FALSE,TRUE,FALSE,FALSE,301,2,0,https://superbowl-ads.com/life-is-short-have-a-diet-coke-because-i-can-diet-coke/,https://www.youtube.com/watch?v=be5DH6jQs38
2013,Hynudai,FALSE,FALSE,FALSE,FALSE,TRUE,3667,7,2,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-epic-playdate/,https://www.youtube.com/watch?v=YyKVvAZSAug
2004,Pepsi,TRUE,FALSE,FALSE,FALSE,TRUE,179695,295,12,https://superbowl-ads.com/2004-pepsi-bears-find-food/,https://www.youtube.com/watch?v=GzWUUZRli6s
2018,Kia,FALSE,FALSE,TRUE,FALSE,FALSE,16399,219,3,https://superbowl-ads.com/2018-kia-stinger-steven-tyler-big-game-ad-feel-something-again/,https://www.youtube.com/watch?v=9_dE6Z2HK8I
2018,Pepsi,FALSE,TRUE,TRUE,FALSE,FALSE,669906,2849,181,https://superbowl-ads.com/2018_pepsi_this_is_the_pepsi/,https://www.youtube.com/watch?v=0gHYd67OumQ
2018,NFL,TRUE,FALSE,TRUE,FALSE,FALSE,3464175,20508,556,https://superbowl-ads.com/touchdown-celebrations-to-come-nfl-super-bowl-lii-commercial/,https://www.youtube.com/watch?v=KUoD-gPDahw
2010,E-Trade,TRUE,FALSE,FALSE,FALSE,FALSE,14927,19,1,https://superbowl-ads.com/hd-exclusive-e-trade-baby-tears-2010-superbowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=LgiYL1Ry2I8
2017,NFL,FALSE,TRUE,TRUE,FALSE,FALSE,310443,2215,323,https://superbowl-ads.com/2017-nfl-super-bowl-51-li-tv-commercial-inside-lines/,https://www.youtube.com/watch?v=pvKBdrx4quA
2000,E-Trade,TRUE,FALSE,FALSE,TRUE,FALSE,67182,121,4,https://superbowl-ads.com/2000-etrade-money-out-of-the-wazoo/,https://www.youtube.com/watch?v=oftjwYmlfoA
2007,E-Trade,TRUE,TRUE,FALSE,FALSE,FALSE,97247,97,22,https://superbowl-ads.com/2007-etrade-one-finger/,https://www.youtube.com/watch?v=jaR5-kefxn4
2000,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,5264,10,1,https://superbowl-ads.com/2000-budweiser-whaasup-game/,https://www.youtube.com/watch?v=loimTUjV92Q
2013,Doritos,TRUE,FALSE,FALSE,FALSE,TRUE,576696,2541,94,https://superbowl-ads.com/video-doritos-2013-super-bowl-xlvii-commercial-goat-for-sale/,https://www.youtube.com/watch?v=DoM6IhfY8No
2013,Budweiser,FALSE,FALSE,FALSE,FALSE,FALSE,1171,5,2,https://superbowl-ads.com/video-budweiser-black-crown-2013-super-bowl-xlvii-ad-coronation/,https://www.youtube.com/watch?v=AMP9fgyi41M
2007,Doritos,TRUE,FALSE,FALSE,TRUE,FALSE,1683994,2508,861,https://superbowl-ads.com/2007-doritos-live-the-favor/,https://www.youtube.com/watch?v=kNxgxF-7SfA
2009,Budweiser,TRUE,TRUE,FALSE,FALSE,TRUE,49339,67,2,https://superbowl-ads.com/2009-budweiser-clydesdale-plays-fetch/,https://www.youtube.com/watch?v=w_ZEGUX4YnI
2012,E-Trade,TRUE,FALSE,FALSE,FALSE,FALSE,21,0,0,https://superbowl-ads.com/2012-etrade-fatherhood/,https://www.youtube.com/watch?v=fObt1E6Ij_E
2019,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,36683,65,117,https://superbowl-ads.com/2019-bud-light-medieval-barbers/,https://www.youtube.com/watch?v=hkSQ2Vr41bM
2017,Kia,TRUE,FALSE,TRUE,TRUE,TRUE,87687,589,22,https://superbowl-ads.com/2017-kia-super-bowl-51-li-tv-commercial-heros-journey-starring-melissa-mccarthy/,https://www.youtube.com/watch?v=pVxmT2x3Od4
2007,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,177497,392,9,https://superbowl-ads.com/2007-bud-light-but-he-has-bud-light/,https://www.youtube.com/watch?v=qIC90Vnc-OI
2011,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,350,1,1,https://superbowl-ads.com/2011-bud-light-dog-sitter/,https://www.youtube.com/watch?v=JJn1vM7LB1Y
2016,Pepsi,FALSE,FALSE,TRUE,FALSE,FALSE,40818,320,19,https://superbowl-ads.com/pepsi-2016-super-bowl-50-ad-joy-pepsi/,https://www.youtube.com/watch?v=B9j4Cw5dkBs
2009,Hynudai,TRUE,FALSE,FALSE,FALSE,FALSE,373684,585,178,https://superbowl-ads.com/2009-hyundai-angry-bosses/,https://www.youtube.com/watch?v=puG0WOgAUfs
2011,Coca-Cola,TRUE,FALSE,FALSE,TRUE,TRUE,87396,53,2,https://superbowl-ads.com/2011-coca-cola-siege/,https://www.youtube.com/watch?v=nAJvHsVoLq0
2016,Hynudai,TRUE,FALSE,TRUE,FALSE,TRUE,11074,91,5,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-ryanville/,https://www.youtube.com/watch?v=wBcijELzZi4
2009,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,41379,103,9,https://superbowl-ads.com/2009-doritos-new-flavor-pitch/,https://www.youtube.com/watch?v=qKKpRhFcKBk
2010,Doritos,TRUE,FALSE,FALSE,TRUE,FALSE,219464,1136,28,https://superbowl-ads.com/hd-exclusive-doritos-samurai-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=1ww1k7w4WQ8
2015,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,2319854,2746,203,https://superbowl-ads.com/2015-doritos-middle-seat/,https://www.youtube.com/watch?v=2JqRXLQYF9o
2007,Coca-Cola,FALSE,TRUE,FALSE,TRUE,TRUE,249186,452,49,https://superbowl-ads.com/2007-coca-cola-video-game/,https://www.youtube.com/watch?v=3Tnm53uXIvg
2019,Toyota,FALSE,FALSE,FALSE,FALSE,FALSE,6713,68,5,https://superbowl-ads.com/2019-toyota-supra-wizard/,https://www.youtube.com/watch?v=ZuBbnZ3UbJw
2002,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,38574,199,7,https://superbowl-ads.com/2002-budweiser-how-ya-doin/,https://www.youtube.com/watch?v=mhEYXcCB1Qw
2014,Coca-Cola,TRUE,FALSE,FALSE,FALSE,FALSE,3900,14,3,https://superbowl-ads.com/2014-coca-going-all-the-way/,https://www.youtube.com/watch?v=nO-8ZY7p95o
2004,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,327529,803,42,https://superbowl-ads.com/2004-budweiser-referee/,https://www.youtube.com/watch?v=uO-E2T1hayU
2016,Coca-Cola,TRUE,FALSE,TRUE,TRUE,FALSE,6428474,58957,2673,https://superbowl-ads.com/coca-cola-mini-2016-super-bowl-50-ad-hulk-vs-ant-man/,https://www.youtube.com/watch?v=sMkGwCw7iv8
2015,Budweiser,TRUE,FALSE,FALSE,TRUE,TRUE,7621,14,2,https://superbowl-ads.com/2015-budweiser-clydesdale-beer-run/,https://www.youtube.com/watch?v=5tso0er4EUI
2016,Hynudai,TRUE,FALSE,TRUE,FALSE,FALSE,156718,1243,24,https://superbowl-ads.com/hyundai-2016-super-bowl-50-ad-first-date/,https://www.youtube.com/watch?v=KwUUdl22mkA
2001,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,60774,269,10,https://superbowl-ads.com/2001-bud-light-pencil-pusher/,https://www.youtube.com/watch?v=J89vbNUzhIE
2003,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,3754,18,1,https://superbowl-ads.com/2003-bud-light-strongman/,https://www.youtube.com/watch?v=_cEQ5g6bzdM
2000,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,6641,7,1,https://superbowl-ads.com/2000-bud-light-hold-the-door/,https://www.youtube.com/watch?v=M3IV93HwSkc
2001,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,788,4,2,https://superbowl-ads.com/2001-pepsi-subway-miracle/,https://www.youtube.com/watch?v=1nmPv4M8Ps8
2014,Doritos,TRUE,FALSE,FALSE,TRUE,TRUE,10929,37,3,https://superbowl-ads.com/2014-doritos-cowboy-kid/,https://www.youtube.com/watch?v=1X_M47SQF6s
2016,Budweiser,FALSE,FALSE,TRUE,FALSE,FALSE,136,0,0,https://superbowl-ads.com/budweiser-2016-super-bowl-50-ad-simply-put/,https://www.youtube.com/watch?v=Le_2S2db0Bk
2004,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,1939823,3744,108,https://superbowl-ads.com/2004-budweiser-donkey/,https://www.youtube.com/watch?v=pmmsr7PAhWU
2015,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,79,0,0,https://superbowl-ads.com/budweiser-2015-super-bowl-xlix-ad-brewed-the-hard-way/,https://www.youtube.com/watch?v=7_EfXuGev24
2016,Kia,TRUE,FALSE,TRUE,FALSE,FALSE,14395,86,1,https://superbowl-ads.com/kia-optima-2016-super-bowl-50-ad-walken-closet/,https://www.youtube.com/watch?v=rBkPXt-OpA4
2017,Budweiser,FALSE,TRUE,FALSE,TRUE,FALSE,28785122,48423,17113,https://superbowl-ads.com/2017-budweiser-super-bowl-51-li-tv-commercial-born-hard-way/,https://www.youtube.com/watch?v=HtBZvl7dIu4
2009,Coca-Cola,FALSE,FALSE,FALSE,FALSE,TRUE,503550,1490,296,https://superbowl-ads.com/2009-coca-cola-heist/,https://www.youtube.com/watch?v=icV7fGqPZ2I
2015,Doritos,TRUE,TRUE,FALSE,FALSE,TRUE,1274288,2031,149,https://superbowl-ads.com/doritos-2015-super-bowl-xlix-ad-when-pigs-fly/,https://www.youtube.com/watch?v=YQo0TfuueaY
2004,Toyota,TRUE,FALSE,FALSE,TRUE,FALSE,112297,640,9,https://superbowl-ads.com/2004-toyota-revenge/,https://www.youtube.com/watch?v=5uLJitPWAXM
2016,NFL,FALSE,TRUE,TRUE,FALSE,FALSE,4921309,20690,2015,https://superbowl-ads.com/nfl-2016-super-bowl-50-ad-super-bowl-babies-choir/,https://www.youtube.com/watch?v=9KqekigARfE
2017,Hynudai,FALSE,TRUE,FALSE,FALSE,FALSE,907,8,0,https://superbowl-ads.com/2017-hyundai-super-bowl-51-li-tv-commercial-better-super-bowl/,https://www.youtube.com/watch?v=KpN6fxOorwE
2012,Bud Light,TRUE,FALSE,FALSE,FALSE,TRUE,14579,42,1,https://superbowl-ads.com/2012-bud-light-rescue-dog/,https://www.youtube.com/watch?v=Qr3GJqccGi4
2008,Budweiser,FALSE,TRUE,FALSE,FALSE,TRUE,110004,300,7,https://superbowl-ads.com/2008-budweiser-dalmatian-trains-hank-for-team/,https://www.youtube.com/watch?v=odpagg0jV6I
2013,Hynudai,TRUE,FALSE,FALSE,TRUE,TRUE,114478,1042,11,https://superbowl-ads.com/video-hyundai-2013-super-bowl-xlvii-ad-santafe-team/,https://www.youtube.com/watch?v=jvm68nEAU7o
2010,Doritos,TRUE,FALSE,FALSE,FALSE,FALSE,11608,22,0,https://superbowl-ads.com/hd-exclusive-casket-funeral-doritos-2010-super-bowl-44-xliv-commercial-ad/,https://www.youtube.com/watch?v=2IhJl7mBtls
2019,Toyota,FALSE,FALSE,FALSE,FALSE,FALSE,4873,32,14,https://superbowl-ads.com/2019-toyota-toni-with-antoinette-harris/,https://www.youtube.com/watch?v=wegrVsP3gK4
2009,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,54079,171,7,https://superbowl-ads.com/2009-bud-light-meeting/,https://www.youtube.com/watch?v=L1fL0ZHX2t0
2003,Bud Light,TRUE,FALSE,FALSE,FALSE,FALSE,147160,53,15,https://superbowl-ads.com/2003-bud-light-yoga/,https://www.youtube.com/watch?v=bcV8WN1YIL4
2019,Coca-Cola,FALSE,TRUE,FALSE,FALSE,TRUE,81952,417,56,https://superbowl-ads.com/2019-coca-cola-a-coke-is-a-coke/,https://www.youtube.com/watch?v=WTqL_giKNHQ
2012,Hynudai,TRUE,FALSE,FALSE,TRUE,FALSE,1264,2,0,https://superbowl-ads.com/2012-hyundai-genesis-heart/,https://www.youtube.com/watch?v=UxQKSCpOIOI
2011,Hynudai,TRUE,FALSE,FALSE,FALSE,FALSE,319,0,0,https://superbowl-ads.com/2011-hyundai-super-bowl-commercial-hypnotized-video/,https://www.youtube.com/watch?v=5ofcQl6gWeE
2015,Kia,TRUE,FALSE,TRUE,TRUE,TRUE,81049,74,0,https://superbowl-ads.com/2015-kia-sorento-the-perfect-getaway-with-pierce-brosnan/,https://www.youtube.com/watch?v=nayeYTmEdYw
2007,Bud Light,TRUE,FALSE,FALSE,TRUE,FALSE,218329,309,8,https://superbowl-ads.com/2007-bud-light-rock-scissors-paper/,https://www.youtube.com/watch?v=kH50-giCeDM
2008,Hynudai,FALSE,FALSE,FALSE,FALSE,FALSE,13312,18,11,https://superbowl-ads.com/2008-hyundai-genesis-luxury/,https://www.youtube.com/watch?v=PsKJUnGEGSs
2010,NFL,FALSE,TRUE,FALSE,FALSE,FALSE,91378,404,14,https://superbowl-ads.com/2010-nfl-best-fans-on-the-planet/,https://www.youtube.com/watch?v=6cMHr8goUgU
2005,Pepsi,TRUE,FALSE,FALSE,FALSE,FALSE,111,0,0,https://superbowl-ads.com/2005-pepsi-song-in-a-bottle/,https://www.youtube.com/watch?v=vUwROngDC88
2018,Budweiser,FALSE,TRUE,FALSE,FALSE,FALSE,39897,138,8,https://superbowl-ads.com/41891-2/,https://www.youtube.com/watch?v=GNVw5f16GEM
2018,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,33766,144,23,https://superbowl-ads.com/bud-light-the-bud-knight/,https://www.youtube.com/watch?v=UizTtcBsNi8
2004,Bud Light,TRUE,FALSE,FALSE,TRUE,TRUE,88445,118,6,https://superbowl-ads.com/2004-bud-light-sleigh-ride/,https://www.youtube.com/watch?v=yQ_nU0_R7PE
2002,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,13245,49,3,https://superbowl-ads.com/2002-budweiser-anniversary-card/,https://www.youtube.com/watch?v=LnU2T2P1oxA
2006,Budweiser,TRUE,FALSE,FALSE,FALSE,FALSE,85274,78,16,https://superbowl-ads.com/2006-budweiser-stadium-crowd-wave/,https://www.youtube.com/watch?v=4WeAvfP1ikU
2014,Bud Light,FALSE,FALSE,TRUE,FALSE,TRUE,134186,405,27,https://superbowl-ads.com/2014-bud-light-up-for-whatever-2/,https://www.youtube.com/watch?v=PnOW5qj_R6A
